name,population
Abala,25300
Abderafi,24500
Abiy Adi,34200
Abomsa,30400
Adaba,25100
Adama,456900
Addis Alem,20900
Addis Kidam,20100
Adebaye,21800
Adet,43200
Adigrat,121800
Adis Abeba,3860000
Adis Zemen,36300
Adola,47600
Adwa,85600
Agaro,52800
Aksum,94500
Alaba Kulito,72200
Alamata,70400
Alem Ketema,23500
Alem Tena,23700
Aleta Wendo,59300
Aman,29400
Amba Giyorgis,27300
Ambo,99900
Arba Minch,201000
Areka,84500
Arerti,23000
Arsi Negele,98100
Asasa,42900
Asayta,39400
Asela,139500
Asosa,69700
Ataye,26300
Awasa,422200
Awash Sebat Kilo,36500
Ayikel,34000
Babile,36700
Bahir Dar,350000
Bako,34100
Bambasi,26300
Bati,37600
Bedele,40500
Bedesa,37700
Bekoji,36800
Bichena,36500
Bishoftu,207400
Boditi,64900
Bonga,56000
Bule Hora,57700
Burayu,101400
Bure,46000
Butajira,89800
Chagni,52300
Chelenko,20900
Chencha,27500
Chiefera,22400
Chinaksen,25400
Chiro,69800
Chuko,49500
Dabat,28300
Dangila,56000
Daye,31000
Debark,46800
Debre Birhan,146900
Debre Markos,140700
Debre Tabor,125300
Deder,26900
Degehabur,47200
Dembecha,29800
Dembi Dolo,61100
Dera,30700
Dese,270400
Dibate,21300
Dila,158800
Diniboya,21800
Dire Dawa,343000
Dodola,43200
Dolo,41400
Dubti,36100
Durame,65900
Durbete,26500
Ebinat,27000
Enseno,30500
Este,31300
Fiche,57100
Filakit,26500
Finote Selam,58400
Funyan Bira,25000
Gambela,97600
Gebre Guracha,41200
Gedeb,24000
Gedo,23300
Gelemso,34200
Genda Wuha,25600
Gida Ayana,21800
Gidole,35500
Gimbi,64300
Gimbicho,22900
Gimjabet,24800
Ginchi,37600
Ginir,35500
Goba,66500
Gobesa,23200
Gode,67900
Gonder,466000
Guder,30600
Gutin,28300
Hadero,48000
Haramaya,63700
Harar,157000
Harbu,24500
Haro Adi,23000
Hartisheik,22000
Hayk,28500
Hirna,24200
Holeta,48300
Hosaena,188200
Humora,46100
Huruta,27500
Idaga Hamus,25400
Indaba Guna,21400
Injibara,47500
Inticho,21800
Iteya,31100
Jijiga,198000
Jima,250900
Jinka,54400
Kachise,22900
Kebri Dehar,45900
Kele,23100
Kemise,43800
Kersa,23300
Kobo,56100
Kofele,27900
Koladiba,27300
Kombolcha,132100
Korem,35600
Kuyera,21100
Lalibela,39100
Leku,31700
Limu Genet,20700
Logiya,34500
Lumame,20900
Maksegnit,25800
Manbuk,24100
May Cadera,27300
Maychew,49600
Mehal Meda,24900
Mehoni,29200
Mekele,457900
Meki,75200
Melka Rafa,26200
Mena,22100
Mendi,29100
Merawi,42200
Merito Lemariyam,27600
Mersa,36300
Metema Yohanis,22900
Metu,59700
Mieso,27700
Mile,21700
Mizan,62000
Mojo,61300
Mota,59000
Moyale,57000
Mukutin,23300
Nefas Mewcha,44200
Negele,73100
Nejo,39400
Nekemte,156000
Qericha,20500
Robe,31400
Sagure,24900
Sawla,61000
Sebeta,102300
Sekota,50300
Sendafa,25500
Shakiso,47500
Shambu,31100
Shashemene,208400
Shendi,23900
Sheno,22900
Shewa Robit,39600
Shinshicho,38400
Shiraro,36100
Shire Inda Silase,100100
Shone,41900
Sire,21300
Sodo,204100
Tepi,66700
Tercha,24300
Tikil Dingay,28200
Tilili,20400
Tis Abay,39200
Togo Chale,22700
Tora,24600
Tulu Bolo,30000
Wacha,28300
Waka,26500
Waliso,78600
Wegada,23200
Weldiya,104000
Welenchiti,31500
Welkite,77500
Wenji Gefersa,29200
Werabe,25400
Were Ilu,20600
Wereta,47800
Wonago,22800
Wukro,64000
Yabelo,36300
Yirga Alem,81600
Yirga Chefe,40600
Ziway,90500
