name1,name2,distance,forced_redirection
Kobo,Sekota,765.72,0
Sekota,Gonder,1567.83,0
Gonder,Injibara,1691.89,0
Injibara,Debre Markos,1043.71,0
Debre Markos,Kombolcha,849.37,0
Kombolcha,Bako,602.08,0
Bako,Welkite,1122.6,0
Welkite,Becho,546.98,0
Becho,Sodo,380.38,0
Sodo,China Camp,1644.56,0
China Camp,Ataye,827.59,0
Ataye,Kemise,379.33,0
Kemise,Asbuli,1488.93,0
Asbuli,Qoliji,1464.34,0
Qoliji,Qoliji 2,4.96,0
Qoliji 2,Abdi balay,3371.4,0
Abdi balay,Elmahan,2057.38,0
Elmahan,Dati,575.28,0
Dati,Beledul Amin,611.71,0
Beledul Amin,Moyale,46.32,0
Moyale,Sadey,2181.56,0
Sadey,Bula Ad,1591.56,0
Bula Ad,Mustahil town,2572.72,0
Mustahil town,Gedeb,6522.61,0
Gedeb,Arba Minch,709.64,0
Arba Minch,Gidole,424.63,0
Gidole,Tepi,2468.17,0
Tepi,Abobo,1146.16,0
Abobo,Gimbi,1812.18,0
